i,dir,p_now,p_future,gross_ret,net_ret,balance
262,1,106195.33,106305.21,0.0010346971001455874,0.0010346971001455874,9774.883226042311
264,1,106305.21,106626.12,0.0030187607926270843,0.0030187607926270843,9804.391260277596
266,1,106626.12,106976.51,0.0032861553998213555,0.0032861553998213555,9836.610013559519
268,1,106976.51,107098.92,0.0011442698962604858,0.0011442698962604858,9847.86575027929
270,1,107098.92,107707.22,0.005679795837343571,0.005679795837343571,9903.799617174445
272,1,107707.22,107517.52,-0.0017612561163494744,-0.0017612561163494744,9886.356489523598
274,1,107517.52,107782.99,0.002469085968500817,0.002469085968500817,9910.766753611477
276,1,107782.99,107404.46,-0.0035119641791343525,-0.0035119641791343525,9875.960495785037
278,1,107404.46,107323.04,-0.0007580690783233202,-0.0007580690783233202,9868.47383551444
280,1,107323.04,107752.47,0.004001284346772271,0.004001284346772271,9907.960405399015
282,1,107752.47,108140.25,0.0035988038139636025,0.0035988038139636025,9943.617211094566
284,1,108140.25,108639.15,0.004613453362646958,0.004613453362646958,9989.491625353965
286,1,108639.15,109523.41,0.008139423034882132,0.008139423034882132,10070.800323596133
288,1,109523.41,108984.81,-0.004917670112718375,-0.004917670112718375,10021.27544983363
290,1,108984.81,109127.86,0.0013125682377204129,0.0013125682377204129,10034.42905769053
292,1,109127.86,109590.64,0.00424071359962519,0.00424071359962519,10076.982197459953
294,1,109590.64,109091.62,-0.004553491064565374,-0.004553491064565374,10031.096749066035
296,1,109091.62,109200.0,0.0009934768591759457,0.0009934768591759457,10041.062411558387
298,1,109200.0,109189.47,-9.642857142855288e-05,-9.642857142855288e-05,10040.094166254416
300,1,109189.47,108702.81,-0.00445702319097252,-0.00445702319097252,9995.345233715872
302,1,108702.81,108964.62,0.0024084933958927746,0.0024084933958927746,10019.418956700945
304,1,108964.62,108858.14,-0.0009771979198385239,-0.0009771979198385239,10009.628001338466
306,1,108858.14,108689.06,-0.0015532141188523418,-0.0015532141188523418,9994.080905802328
308,-1,108689.06,108554.1,0.0012417073070646323,0.0012417073070646323,10006.490629090458
310,-1,108554.1,108607.78,-0.0004944999774305625,-0.0004944999774305625,10001.542419700214
312,1,108607.78,109290.45,0.006285645466650669,0.006285645466650669,10064.408569470117
314,1,109290.45,109433.2,0.0013061525503830218,0.0013061525503830218,10077.554222391227
316,1,109433.2,109161.17,-0.002485808694253633,-0.002485808694253633,10052.503350488394
318,1,109161.17,108796.0,-0.0033452371388104085,-0.0033452371388104085,10018.875342942325
320,1,108796.0,109851.75,0.0097039413213722,0.0097039413213722,10116.09792137638
322,1,109851.75,109681.73,-0.0015477222711518523,-0.0015477222711518523,10100.441011326313
324,1,109681.73,109685.2,3.163699186736757e-05,3.163699186736757e-05,10100.760558896445
326,1,109685.2,109194.13,-0.0044770853314758385,-0.0044770853314758385,10055.53859196146
328,1,109194.13,110227.92,0.009467450310744585,0.009467450310744585,10150.73890392863
330,-1,110227.92,109714.79,0.004655172664058349,0.004655172664058349,10197.99234619419
332,1,109714.79,109313.29,-0.0036594883880286533,-0.0036594883880286533,10160.672911622089
334,1,109313.29,109494.51,0.0016578039138699374,0.0016578039138699374,10177.517314942528
336,-1,109494.51,109617.32,-0.0011216087454979373,-0.0011216087454979373,10166.102122514632
338,1,109617.32,109527.96,-0.0008151996418084284,-0.0008151996418084284,10157.81471970577
340,1,109527.96,109711.33,0.001674184381777799,0.001674184381777799,10174.820774462494
342,1,109711.33,109859.37,0.0013493592685458466,0.0013493592685458466,10188.550263180308
344,1,109859.37,109709.8,-0.0013614678474853648,-0.0013614678474853648,10174.6788795845
346,1,109709.8,109734.72,0.000227144703572435,0.000227144703572435,10176.990004002548
348,1,109734.72,109628.73,-0.0009658747933197764,-0.0009658747933197764,10167.160305885815
350,1,109628.73,109415.01,-0.001949488970637514,-0.001949488970637514,10147.339539006787
352,-1,109415.01,109442.2,-0.00024850338175719244,-0.00024850338175719244,10144.817890815506
354,1,109442.2,109162.37,-0.0025568747704267647,-0.0025568747704267647,10118.878861899906
356,-1,109162.37,109330.0,-0.001535602424168836,-0.001535602424168836,10103.340286989702
358,-1,109330.0,108966.99,0.003320314643739053,0.003320314643739053,10136.886555695273
360,-1,108966.99,109094.03,-0.0011658576601958348,-0.0011658576601958348,10125.06838885378
362,-1,109094.03,109037.85,0.0005149686009399135,0.0005149686009399135,10130.282481156408
364,-1,109037.85,108811.0,0.0020804702220376114,0.0020804702220376114,10151.358232199284
366,-1,108811.0,108864.43,-0.0004910349137494663,-0.0004910349137494663,10146.373560885295
368,-1,108864.43,109011.49,-0.0013508544526437127,-0.0013508544526437127,10132.667286982387
370,-1,109011.49,108858.24,0.0014058151117831708,0.0014058151117831708,10146.911943777097
372,-1,108858.24,109000.0,-0.0013022440928678325,-0.0013022440928678325,10133.698187637463
374,-1,109000.0,108697.77,0.0027727522935779847,0.0027727522935779847,10161.79642252966
376,-1,108697.77,108000.45,0.006415219005872941,0.006415219005872941,10226.986572073285
378,-1,108000.45,107794.02,0.0019113809248015867,0.0019113809248015867,10246.534239125349
380,-1,107794.02,107571.62,0.002063194229141918,0.002063194229141918,10267.674829436217
382,-1,107571.62,107528.93,0.00039685188342430955,0.00039685188342430955,10271.749575530666
384,-1,107528.93,107844.61,-0.002935768076554046,-0.002935768076554046,10241.594101036466
386,-1,107844.61,107551.0,0.0027225282747093127,0.0027225282747093127,10269.477130554633
388,-1,107551.0,107439.39,0.0010377402348653586,0.0010377402348653586,10280.13418016404
390,-1,107439.39,107738.34,-0.0027824990443447994,-0.0027824990443447994,10251.529716631996
392,-1,107738.34,107897.04,-0.0014730132281599584,-0.0014730132281599584,10236.429077750523
394,-1,107897.04,108263.06,-0.003392308074438466,-0.003392308074438466,10201.703956736654
396,1,108263.06,107947.38,-0.0029158606823046496,-0.0029158606823046496,10171.957209276694
398,-1,107947.38,108230.84,-0.002625909030862905,-0.002625909030862905,10145.246574979303
400,1,108230.84,107990.05,-0.002224781771997697,-0.002224781771997697,10122.675615326867
402,-1,107990.05,108080.92,-0.0008414664128777449,-0.0008414664128777449,10114.157723788114
404,-1,108080.92,108132.35,-0.000475847170805066,-0.000475847170805066,10109.344930450174
406,1,108132.35,108100.79,-0.0002918645530224362,-0.0002918645530224362,10106.394371010698
408,1,108100.79,108167.58,0.000617849323765407,0.000617849323765407,10112.638599938533
410,1,108167.58,108297.01,0.0011965692493074442,0.0011965692493074442,10124.739072316579
412,1,108297.01,108021.9,-0.002540328675740944,-0.002540328675740944,10099.018907316778
414,1,108021.9,108022.61,6.572741268362492e-06,6.572741268362492e-06,10099.08528555512
416,1,108022.61,108025.65,2.8142256514485098e-05,2.8142256514485098e-05,10099.369496603787
418,-1,108025.65,108041.16,-0.00014357701157097225,-0.00014357701157097225,10097.919459312714
420,1,108041.16,108128.8,0.0008111723346917454,0.0008111723346917454,10106.110612216055
422,1,108128.8,108082.23,-0.0004306900659214463,-0.0004306900659214463,10101.75801077027
424,-1,108082.23,108156.43,-0.0006865143326519885,-0.0006865143326519885,10094.823009110894
426,1,108156.43,108222.91,0.0006146652584595458,0.0006146652584595458,10101.027946104892
428,1,108222.91,108040.72,-0.0016834697939650534,-0.0016834697939650534,10084.023170669629
430,1,108040.72,108110.6,0.0006467931720559594,0.0006467931720559594,10090.545448003271
432,-1,108110.6,108129.59,-0.00017565345118786269,-0.00017565345118786269,10088.773008870961
434,-1,108129.59,107998.65,0.001210954374283646,0.001210954374283646,10100.990052677207
436,-1,107998.65,108183.19,-0.0017087250627669803,-0.0017087250627669803,10083.730237815438
438,-1,108183.19,108136.32,0.00043324660698207396,0.00043324660698207396,10088.098979726694
440,1,108136.32,108183.17,0.0004332494392262909,0.0004332494392262909,10092.46964295252
442,1,108183.17,108220.0,0.0003404411240677252,0.0003404411240677252,10095.905534662385
444,1,108220.0,108260.0,0.0003696174459435486,0.0003696174459435486,10099.637157480594
446,1,108260.0,108255.02,-4.600036948088082e-05,-4.600036948088082e-05,10099.172570439727
448,-1,108255.02,108218.46,0.00033772105903262517,0.00033772105903262517,10102.583273695567
450,-1,108218.46,108113.82,0.0009669329983073016,0.0009669329983073016,10112.351794831051
452,-1,108113.82,108008.53,0.000973881044995073,0.000973881044995073,10122.200022564359
454,-1,108008.53,108020.0,-0.00010619531624023182,-0.00010619531624023182,10121.125092331915
456,1,108020.0,108051.88,0.000295130531383192,0.000295130531383192,10124.112145358611
458,-1,108051.88,108181.57,-0.0012002567655462482,-0.0012002567655462482,10111.960611260996
460,1,108181.57,108094.65,-0.0008034640281150418,-0.0008034640281150418,10103.836014656132
462,1,108094.65,107991.36,-0.0009555514542115562,-0.0009555514542115562,10094.181279459212
464,-1,107991.36,107892.24,0.0009178512058741761,0.0009178512058741761,10103.446235918875
466,1,107892.24,108071.87,0.0016649019429013645,0.0016649019429013645,10120.267483187055
468,-1,108071.87,108138.89,-0.000620142873441587,-0.000620142873441587,10113.991471430034
470,1,108138.89,108214.83,0.0007022450480118625,0.0007022450480118625,10121.09397185648
472,-1,108214.83,108829.47,-0.005679813016385982,-0.005679813016385982,10063.608050575065
474,1,108829.47,108895.54,0.0006070965888191893,0.0006070965888191893,10069.717632693782
476,1,108895.54,108939.04,0.0003994653959198402,0.0003994653959198402,10073.740136434728
478,1,108939.04,108841.89,-0.0008917831477126548,-0.0008917831477126548,10064.756544746619
480,1,108841.89,108955.66,0.0010452776959313237,0.0010452776959313237,10075.277010277821
482,1,108955.66,108412.64,-0.004983862242677439,-0.004983862242677439,10025.063217601783
484,1,108412.64,108589.59,0.0016321897520437112,0.0016321897520437112,10041.426023049142
486,1,108589.59,108750.0,0.001477213423496604,0.001477213423496604,10056.259352361438
488,1,108750.0,109203.0,0.004165517241379257,0.004165517241379257,10098.14887407748
490,1,109203.0,109373.35,0.001559938829519325,0.001559938829519325,10113.90136861242
492,1,109373.35,109216.4,-0.001434993076467106,-0.001434993076467106,10099.38799017239
494,1,109216.4,108869.85,-0.0031730582586496636,-0.0031730582586496636,10067.342043702867
496,1,108869.85,108944.97,0.0006899981950925227,0.0006899981950925227,10074.288491542402
498,-1,108944.97,109445.1,-0.004590666278580846,-0.004590666278580846,10028.040795083583
500,1,109445.1,109428.94,-0.00014765393791049686,-0.00014765393791049686,10026.560115370663
502,1,109428.94,109206.81,-0.002029901779182053,-0.002029901779182053,10006.207183153396
504,1,109206.81,109115.61,-0.0008351127553308801,-0.0008351127553308801,9997.850871902261
506,1,109115.61,108780.56,-0.0030705964068752367,-0.0030705964068752367,9967.151506938524
508,1,108780.56,109066.14,0.002625285253173848,0.002625285253173848,9993.31812280584
510,-1,109066.14,109062.57,3.273243189860775e-05,3.273243189860775e-05,9993.645228410736
512,-1,109062.57,108784.64,0.0025483536652400884,0.0025483536652400884,10019.112570857667
