open,high,low,close,volume,close_time,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1847.51,1854.58,1846.9,1853.01,145.8774,1683129599999,424,43.239954622592585,1845.3288139054034,1860.4075000000007,1875.486186094598,1.6210089557903073,0.2547034286146705
1853.54,1861.5,1850.85,1860.95,157.6771,1683131399999,486,52.48678019357148,1845.354871099865,1860.4355000000005,1875.516128900136,1.6211934141372248,0.5170583071636662
1861.45,1866.11,1855.34,1864.88,197.6362,1683133199999,632,56.283045550517144,1845.384481439075,1860.3685000000003,1875.3525185609255,1.6108656495662312,0.6505437270267653
1864.77,1874.06,1860.44,1869.8,280.9011,1683134999999,782,60.53431808270329,1845.2094915102823,1860.5150000000003,1875.8205084897183,1.6452980480907726,0.8033221668602886
1870.1,1887.74,1867.31,1874.85,556.5312,1683136799999,1678,64.36484611515078,1844.5087334720258,1860.986,1877.4632665279744,1.7708103691241395,0.9207008479368286
1875.57,1893.0,1871.71,1881.46,1051.951,1683138599999,1914,68.65351613134217,1843.0564404995248,1861.594,1880.1315595004753,1.9915792058284731,1.035831051533258
1882.64,1894.34,1866.92,1884.88,1137.5266,1683140399999,2506,70.62346048505772,1841.3184802538963,1862.4185,1883.5185197461037,2.2658730834239162,1.0322625350658214
1885.2,1893.02,1873.73,1878.85,638.6,1683142199999,1555,63.09453871754224,1840.74714122573,1863.045,1885.34285877427,2.393700503666849,0.8544062270731924
1878.09,1881.44,1867.07,1867.71,344.851,1683143999999,910,52.053995902261285,1840.7454149871146,1863.0199999999998,1885.294585012885,2.3912341266207724,0.6052769332691779
1867.83,1878.11,1866.92,1872.63,149.3286,1683145799999,351,55.737797819734375,1840.6865073124816,1863.331,1885.9754926875182,2.4305389313566215,0.7053258628559568
1872.37,1875.94,1858.06,1873.21,206.3739,1683147599999,661,56.1653693471089,1840.671316337397,1863.7355,1886.799683662603,2.4750490252080297,0.7053942194226083
1873.15,1898.54,1873.15,1887.87,314.2001,1683149399999,945,65.29175928162462,1839.3276662504313,1864.7785,1890.2293337495685,2.729636120275794,0.9536491854690503
1887.92,1896.76,1887.81,1890.06,97.2085,1683151199999,353,66.41662538703004,1838.6056669178809,1866.3,1893.994333082119,2.967832940268885,0.9289686256308638
1889.49,1916.02,1889.49,1908.65,434.1736,1683152999999,1354,74.09230670611464,1835.4564205972845,1868.7604999999999,1902.0645794027153,3.564296163442602,1.0988680773555313
1908.65,1911.43,1904.46,1906.61,262.3491,1683154799999,671,72.1436900321796,1835.4615872586855,1871.5815000000002,1907.701412741315,3.8598279306901344,0.9848918137049284
1907.05,1908.77,1903.22,1904.32,99.1306,1683156599999,278,69.92064270562891,1836.687141453174,1874.2489999999998,1911.8108585468256,4.008203664169037,0.9002863697826974
1904.43,1906.44,1898.88,1905.3,120.0619,1683158399999,338,70.34182495276784,1837.538554221946,1876.6470000000002,1915.7554457780543,4.1679064606240965,0.8663275212035981
1905.04,1906.46,1900.89,1902.16,148.8713,1683160199999,358,67.09983821654338,1840.306416784612,1879.1644999999999,1918.0225832153876,4.135676596209406,0.7958908172662262
1902.53,1904.4,1895.84,1901.77,192.9744,1683161999999,529,66.68871726624442,1844.6258932491146,1881.8439999999998,1919.062106750885,3.9554933087849182,0.7676922839381966
1902.33,1903.96,1897.28,1897.28,66.2242,1683163799999,222,61.980367678545356,1850.1471917163137,1884.3124999999998,1918.4778082836858,3.626288981650979,0.68977583770541
1897.81,1902.38,1897.81,1901.98,58.5225,1683165599999,153,64.7832317510448,1855.1152124427542,1886.761,1918.4067875572457,3.354509400739759,0.7404585440079441
1902.13,1908.14,1899.74,1900.4,85.3791,1683167399999,290,63.09915613482923,1859.001663941985,1888.7335000000003,1918.4653360580155,3.1483357559989513,0.6961954178886761
1900.9,1903.2,1898.34,1902.55,103.0093,1683169199999,227,64.45329854987858,1862.5199140935833,1890.6170000000002,1918.714085906417,2.972266292582458,0.7123529827923274
