,open,high,low,close,volume,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1418,7956.39,7956.39,7901.0,7935.72,6.73569,298,31.676254632422772,7929.727836813365,7974.915500000001,8020.103163186637,1.1332449400030933,0.06630308765786767
1419,7935.67,7935.67,7495.07,7553.3,32.298303,1095,10.457344155683828,7760.160242655513,7951.1395,8142.118757344488,4.803821071042394,-0.5415777753349912
1420,7553.49,7579.05,7429.49,7470.89,22.176448,805,9.050388309008412,7639.078812947708,7924.563000000001,8210.047187052294,7.205045553989367,-0.29456765133702423
1421,7467.16,7504.13,7420.99,7468.37,13.320229,623,9.010466368100468,7550.102406333646,7900.375000000001,8250.647593666356,8.86723968587199,-0.11666971354815589
1422,7468.43,7495.45,7444.21,7478.59,6.562369,258,10.7302887739946,7480.102926481907,7875.9585,8271.814073518093,10.052251380402602,-0.0019109576612262424
1423,7480.39,7487.22,7460.36,7468.73,3.56372,174,10.52362319196551,7418.293291492558,7851.2385,8284.183708507442,11.02871116467656,0.058248373600576345
1424,7468.73,7479.14,7442.72,7452.54,9.252112,346,10.177020437717067,7361.353409961726,7826.263000000001,8291.172590038275,11.880755605536754,0.09806916440545625
1425,7448.16,7468.54,7423.34,7429.29,11.402846,344,9.683765138376975,7307.086962547341,7800.048000000001,8293.00903745266,12.639948817049845,0.12394796765697202
1426,7429.29,7486.98,7310.24,7486.98,17.34882,672,20.039667975297114,7270.672872624846,7776.135000000001,8281.597127375157,13.000343419324775,0.2139696682107798
1427,7487.55,7498.12,7465.02,7472.94,5.244743,185,19.455006111643865,7237.026942336383,7751.4400000000005,8265.853057663617,13.272709526581297,0.22930313893575746
1428,7469.67,7479.32,7460.23,7476.78,2.775584,111,20.14126106582061,7209.515113634426,7726.468500000001,8243.421886365575,13.381362685050089,0.2584999860863393
1429,7476.78,7506.67,7462.25,7503.23,7.079444,391,24.888411782738558,7189.475184626726,7703.901500000001,8218.327815373275,13.354955677283114,0.3049560315995971
